scores_problem1,scores_problem2
24.43341150411521,47446958.63733806
26.952591608976306,47854144.62136818
23.940183949508732,42194430.15209165
25.301458628189632,37454668.15631148
26.226923344142566,42456249.5539832
25.250951740992427,43913814.77263555
25.091446336079166,45793422.747017354
24.576207944617323,48566497.338426106
25.038154524390897,47959607.16458747
24.962084386725145,46515786.13713089
26.85406492412487,43466813.827878185
24.492110941359847,48650659.98023656
25.436578640310266,49672780.76906097
25.689300806824765,48703654.01697478
24.01587282518585,46856148.54173489
26.365448152563186,47447949.87060006
26.22515949594431,38271095.228176415
26.3311698295309,45700689.501940794
24.98834925126127,48803384.80980648
24.048419224687233,38328852.50565715
24.486649430893614,47339297.29414361
25.00362238157687,48050778.47370724
24.629560939038914,44220243.700252414
24.992382980694142,38767240.80994058
24.91447413712226,47670411.92290111
26.65283321281407,37379960.82479889
24.064084767939885,41825302.669757195
